Player,Country,Birthdate,ResidencyFormer,Team,Residency,Role,FavChamps,RoleLast,IsRetired,ToWildrift,AllName,Birthdate__precision
Panj,Serbia,1998-08-30,Europe,,EMEA,Coach,,Coach,0,0,Panj247,1
Panky (Christopher Pankhurst),United Kingdom,1992-03-05,,,Europe,Caster,,Caster,1,0,Panky (Christopher Pankhurst),1
Panky (Uğur Taş),Turkey,1996-01-17,,,Turkey,Top,"Poppy,Camille,Rumble,Gnar",Top,1,0,Panky (Uğur Taş),1
Pann,Germany,,Europe,E WIE EINFACH E-SPORTS,EMEA,Support,,Support,0,0,Pann,
Pann,Germany,,Europe,E WIE EINFACH E-SPORTS,EMEA,Support,,Support,0,0,Maximilian,
Pann,Germany,,Europe,E WIE EINFACH E-SPORTS,EMEA,Support,,Support,0,0,Pan (Maximilian Abels),
Panoz,Greece,2001-08-16,,,Europe,Manager,"Zed,Pyke,Thresh",Team Manager,1,0,Panoz,1
Pansy,Mexico,,,,LAN,Mid,Gragas,Mid,1,0,Pansy,
Panther,United States,,,,North America,Top,,Top,0,0,Panther,
Panther,United States,,,,North America,Top,,Top,0,0,Izaac,
Panther,United States,,,,North America,Top,,Top,0,0,Panther410,
Pantsu,Sweden,,,,Europe,Mid,"Twisted Fate,Kassadin,Veigar",Mid,1,0,Pantsu,
Pantsu,Sweden,,,,Europe,Mid,"Twisted Fate,Kassadin,Veigar",Mid,1,0,Superblob,
Paolocannone,Italy,1995-09-12,Europe,QLASH,EMEA,Streamer,"Blitzcrank,Janna",Support,0,0,Paolocannone,1
Paolocannone,Italy,1995-09-12,Europe,QLASH,EMEA,Streamer,"Blitzcrank,Janna",Support,0,0,Paolocannon,1
Paolocannone,Italy,1995-09-12,Europe,QLASH,EMEA,Streamer,"Blitzcrank,Janna",Support,0,0,PaulCannon,1
Paopao,China,,,,China,Support,,Support,0,0,Paopao,
PAPA,United States,2004-02-12,,Winthrop University,North America,Mid,"Irelia,Akali,Kassadin",Mid,0,0,PAPA,1
PAPA,United States,2004-02-12,,Winthrop University,North America,Mid,"Irelia,Akali,Kassadin",Mid,0,0,Conveying,1
Papace,Portugal,,Europe,,EMEA,Bot,,Bot,0,0,Papace,
Papace,Portugal,,Europe,,EMEA,Bot,,Bot,0,0,Papacelo,
Papajim,Greece,2003-07-03,,,Europe,Mid,"Akshan,Anivia,LeBlanc,Cassiopeia,Ryze,Twisted Fate,Vex",Mid,1,0,Papajim,1
Paparotis,Greece,2003-01-28,Europe,Team Paradox,EMEA,Bot,,Bot,0,0,Paparotis,1
PapaSmithy,Qatar,1987-01-26,Oceania,FlyQuest,PCS,Manager,"Rumble,Alistar,Ezreal",President;Chief Gaming Officer,0,0,PapaSmithy,1
Papil,Greece,2002-12-19,Europe,Pegasus Esports,EMEA,Support,,Support,0,0,Papil,1
Papil,Greece,2002-12-19,Europe,Pegasus Esports,EMEA,Support,,Support,0,0,PapilGRE,1
papillon,China,,,,China,Jungle,,Jungle,1,0,Papillon,
papillon,China,,,,China,Jungle,,Jungle,1,0,Fiend,
papillon,China,,,,China,Jungle,,Jungle,1,0,Monsters (Tang Hai-Qin),
papillon,China,,,,China,Jungle,,Jungle,1,0,Ocean (Tang Hai-Qin),
PapiSosa,Mexico,1997-06-27,,Movistar R7,Latin America,Streamer,,Content Creator,0,0,PapiSosa,1
Papiteero,Portugal,2003-09-20,Europe,,EMEA,Top,,Top,0,0,Papiteero,1
papryze,Australia,,Oceania,,Asia Pacific,Top,"Riven,Camille,Ryze,Akali",Top,0,0,Papryze,
Parad1sE,Taiwan,,,,LMS,Support,,Support,1,0,Parad1sE,
Paradox (Dimitris Tsiavos),Greece,,,,Europe,Bot,"Kai'Sa,Xayah,Kalista,Sivir",Bot,1,0,Paradox (Dimitris Tsiavos),
