OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
Vivo Keyd Stars Ignis,VKS.I,Brazil,Brazil,0,
Vodafone Giants Academy,VGIA.A,Spain,Europe,1,
Vodafone Giants White,VGIA.W,Spain,Europe,1,
Void Esports Fear,VDE.F,United Kingdom,Europe,1,
Void Gaming,VG,Greece,Europe,1,Void Gaming Phenomenon
Void Gaming Phenomenon,VGP,Greece,Europe,1,
Void Purple,Void P,United Kingdom,Europe,1,
Vorax Liberty,VRX,Brazil,Brazil,1,Liberty
Vorax Liberty Academy,VRX.A,Brazil,Brazil,1,Liberty Academy
Vortex (North American Team),VTX,North America,North America,1,
Vortex Five,V5,Poland,Europe,1,
Vortex Gaming (Latin American Team),VTX,,Latin America,1,
Vortex Team,VT,,China,1,
VP Game,VP,China,China,1,LGD Gaming Young Team
VSG (Korean Team),VSG,South Korea,Korea,1,
VSlash GnG,VSG,,MENA,1,
VVv Gaming,VVV,North America,North America,1,
VVv Gaming Red,VR,North America,North America,1,
VVv Gaming White,VW,North America,North America,1,
Vyral,VYR,,North America,0,
W7m esports,w7m,,Brazil,0,
Waia Snikt,WS,Ecuador,Latin America,0,
Wan Yoo,WY,China,China,1,
WANG DYNASTY,WNG,,North America,1,
WANG TOWN,WANG,,North America,0,
Wang's Revenge,WANG,,North America,1,
WannaBeWithYou,WBY,Taiwan,LMS,1,
WanZhen Esports Club,WZ,China,China,1,
WAP Esports,WAP,Argentina,Latin America,0,
War Legion Esports,WLE,Puerto Rico,Latin America,1,
Wargods,WG,Philippines,SEA,1,Wargods LLP
Wargods LLP,WG.LLP,Philippines,SEA,1,
WarKidZ E-Sports,WKZ,Austria,Europe,1,
Warthox Esport,WTX,France,EMEA,0,
WAVE Esports,WAVE,Austria,Europe,1,
WaY (Korean Team),WaY,South Korea,Korea,1,
Wayi Spider,WS,Taiwan,LMS,1,
Wayi Spider China,WS,China,China,1,
Wazabi Gaming,WZG,North America,North America,1,
We Talent,WT,,Latin America,1,
Weber State University,WSU,,North America,0,
Webidoo Gaming,WBD,,EMEA,0,
Weibo Gaming,WBG,China,China,0,
Weibo Gaming Youth Team,WBG.Y,China,China,0,
WeSports,WES,Germany,EMEA,0,
West Point Esports Academy,WP-A,Philippines,PCS,0,
West Point Esports Philippines,WP,Philippines,Asia Pacific,0,
Western Wolves,wW,Netherlands,Europe,1,
WhereAreyouFrom,WAF,South Korea,Korea,1,
White Bears eSports,WB,Chile,Latin America,1,
White Dragons,WD,Portugal,EMEA,0,
Wichita Wolves,WW,United States,North America,1,
Wicked Gaming,WG,Denmark,Europe,1,
WiLD Academy,WiLD.A,,Europe,1,
Wild Fire e-Sports Club,WF,Turkey,Turkey,1,
Wild Jaguars,WJ,Panama,Latin America,1,
WiLD MultiGaming,WiLD,Hungary,Europe,1,
Wild Panthers Esports,WPE,Greece,EMEA,0,
Wild West Bandits,WWB,,North America,1,
Wildcard Aces,WCA,United States,North America,1,
Wildcard Gaming,WC,United States,North America,0,
Wildcard Gaming Black,WCB,United States,North America,1,
Wildcard Gaming Developmental,WCD,United States,North America,1,
Wildcard Gaming Red,WCR,United States,North America,1,
WIN Esports,WIN,Malaysia,SEA,1,
Wina Krzycha,WK,Poland,EMEA,1,
Wind and Rain,WAR,Europe,Europe,1,
Wind and Rain Balkan,WAR.B,Serbia,Europe,1,
Wind and Rain Germany,WAR.G,Germany,Europe,1,
Wind and Rain NA,WAR.NA,North America,North America,1,
Wind and Rain Nordic,WAR.N,Sweden,Europe,1,
Windstorm Gaming,WS,Canada,North America,1,
Wings of Aurora,WOA,China,China,1,
WingsOflibeRty,WOR,Taiwan,LMS,1,
Winners,WNS,South Korea,Korea,1,
Winston King of Amateur,KOA,,North America,1,
Winterfox,WFX,United States,North America,1,
Winthrop University,WU,,North America,0,
Wisła Płock eSports,WP,Poland,Europe,1,
WitchHUB,WH,Poland,EMEA,0,
