OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
Ultraliga/Season 1,2019-01-22,2019-03-06,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 1 Playoffs,2019-03-12,2019-03-27,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 10,2023-05-29,2023-07-20,EMEA,Poland,Online,Ultraliga,1,1
Ultraliga/Season 10 Playoffs,2023-07-25,2023-08-12,EMEA,Poland,,Ultraliga,1,1
Ultraliga/Season 2,2019-06-18,2019-07-31,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Playoffs,2019-08-13,2019-08-28,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Promotion,2019-04-07,2019-04-07,Europe,Poland,Offline,Ultraliga,1,1
Ultraliga/Season 2 Promotion/Closed Qualifier,2019-03-18,2019-03-31,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Promotion/Open Qualifier,2019-02-25,2019-03-14,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Promotion/Open Qualifier/Qualifier 1,2019-02-25,2019-02-25,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Promotion/Open Qualifier/Qualifier 2,2019-02-28,2019-02-28,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Promotion/Open Qualifier/Qualifier 3,2019-03-04,2019-03-04,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Promotion/Open Qualifier/Qualifier 4,2019-03-07,2019-03-07,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Promotion/Open Qualifier/Qualifier 5,2019-03-11,2019-03-11,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 2 Promotion/Open Qualifier/Qualifier 6,2019-03-14,2019-03-14,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3,2020-01-28,2020-03-11,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Playoffs,2020-03-17,2020-04-01,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Promotion,2019-09-01,2019-09-01,Europe,Poland,Offline,Ultraliga,1,1
Ultraliga/Season 3 Promotion/Closed Qualifier,2019-08-08,2019-08-19,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Promotion/Open Qualifier,2019-07-15,2019-08-05,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Promotion/Open Qualifier/Qualifier 1,2019-07-15,2019-07-15,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Promotion/Open Qualifier/Qualifier 2,2019-07-22,2019-07-22,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Promotion/Open Qualifier/Qualifier 3,2019-07-25,2019-07-25,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Promotion/Open Qualifier/Qualifier 4,2019-07-29,2019-07-29,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Promotion/Open Qualifier/Qualifier 5,2019-08-01,2019-08-01,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 3 Promotion/Open Qualifier/Qualifier 6,2019-08-05,2019-08-05,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 4,2020-06-09,2020-07-22,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 4 Playoffs,2020-07-28,2020-08-12,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 4 Promotion,2020-04-08,2020-04-08,Europe,Poland,Offline,Ultraliga,1,1
Ultraliga/Season 4 Promotion/Closed Qualifier,2020-03-16,2020-03-29,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 4 Promotion/Open Qualifier,2020-02-24,2020-03-12,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 5,2021-01-19,2021-03-03,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 5 Playoffs,2021-03-09,2021-03-24,Europe,Poland,Online/Offline,Ultraliga,1,1
Ultraliga/Season 5 Promotion,2020-08-16,2020-08-16,Europe,Poland,Offline,Ultraliga,1,1
Ultraliga/Season 6,2021-06-08,2021-07-21,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 6 Playoffs,2021-07-27,2021-08-11,Europe,Poland,Online/Offline,Ultraliga,1,1
Ultraliga/Season 7,2022-01-11,2022-03-09,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 7 Expansion,2021-10-10,2021-10-18,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 7 Playoffs,2022-03-15,2022-03-30,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 7 Promotion,2021-08-18,2021-08-18,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 8,2022-05-31,2022-07-27,Europe,Poland,Online,Ultraliga,1,1
Ultraliga/Season 8 Playoffs,2022-08-02,2022-08-17,Europe,Poland,,Ultraliga,1,1
Ultraliga/Season 9,2023-01-16,2023-03-08,EMEA,Poland,Online,Ultraliga,1,1
Ultraliga/Season 9 Playoffs,2023-03-14,2023-03-31,EMEA,Poland,,Ultraliga,1,1
Ultraliga/Season 9 Promotion,2022-09-12,2022-09-23,Europe,Poland,Online,Ultraliga,1,1
Uncle Gentsu Tournament,2021-04-11,2021-04-11,Europe,Greece,Online,Uncle Gentsu Tournament,1,1
Underdogs 2019,2019-11-13,2019-11-24,Europe,France,Offline,Underdogs,1,1
Underdogs 2020,2020-05-19,2020-07-08,Europe,France,Offline,Underdogs,1,1
Underdogs Autumn Split 2016,2016-09-18,2016-10-16,Europe,France,Online,Underdogs,1,1
Underdogs Autumn Split 2016/Playoffs,2016-09-18,2016-10-31,Europe,France,Online,Underdogs,1,1
Underdogs On The Hunt,2020-11-17,2020-11-19,Europe,France,Offline,Underdogs,1,1
Underdogs Season 1,2015-12-21,2016-02-22,Europe,France,Online,Underdogs,1,1
Underdogs Season 2,2016-02-24,2016-04-06,Europe,France,Online,Underdogs,1,1
Underdogs Season 3,2016-04-27,2016-06-01,Europe,France,Online,Underdogs,1,1
Underdogs Season 4,2016-06-22,2016-08-03,Europe,France,Online,Underdogs,1,1
Underdogs Spring Split 2017,2017-03-28,2017-05-09,Europe,France,Online,Underdogs,1,1
Underdogs Spring Split 2017/Playoffs,2017-05-15,2017-05-18,Europe,France,Online,Underdogs,1,1
Underdogs Summer Split 2017,2017-08-29,2017-09-21,Europe,France,Online,Underdogs,1,1
Underdogs Summer Split 2017/Playoffs,2017-11-14,2017-11-22,Europe,France,Online,Underdogs,1,1
Underdogs Summer Split 2017/Qualifier,2017-08-22,2017-08-22,Europe,France,Online,Underdogs,1,1
Unified Grand Prix/2021 Season/Spring,2021-02-22,2021-03-03,North America,,,Unified Grand Prix,1,1
Unified Premier League/2022 Season/Fall Playoffs,2022-10-14,2022-11-15,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Fall Season,2022-09-26,2022-10-11,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Spring Playoffs,2022-04-01,2022-04-22,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Spring Season,2022-02-11,2022-03-30,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Summer Playoffs,2022-07-15,2022-08-12,North America,United States,Online,Unified Premier League,1,1
Unified Premier League/2022 Season/Summer Season,2022-06-10,2022-07-14,North America,United States,Online,Unified Premier League,1,1
Uniliga/2020 Season/Summer Playoffs,2020-07-21,2020-09-30,Europe,Germany,Online/Offline,UEG League,1,1
Uniliga/2020 Season/Summer Promotion,2020-01-12,2020-02-02,Europe,Germany,Online,UEG League,1,1
