Player,Country,Birthdate,ResidencyFormer,Team,Residency,Role,FavChamps,RoleLast,IsRetired,ToWildrift,Birthdate__precision,AllName
Panj,Serbia,1998-08-30,Europe,,EMEA,Coach,,Coach,False,False,1.0,"Panj247, Panj"
Panky (Christopher Pankhurst),United Kingdom,1992-03-05,,,Europe,Caster,,Caster,True,False,1.0,Panky (Christopher Pankhurst)
Panky (Uğur Taş),Turkey,1996-01-17,,,Turkey,Top,"Poppy,Camille,Rumble,Gnar",Top,True,False,1.0,Panky (Uğur Taş)
Pann,Germany,,Europe,E WIE EINFACH E-SPORTS,EMEA,Support,,Support,False,False,,"Pann, Maximilian, Pan (Maximilian Abels)"
Panoz,Greece,2001-08-16,,,Europe,Manager,"Zed,Pyke,Thresh",Team Manager,True,False,1.0,Panoz
Pansy,Mexico,,,,LAN,Mid,Gragas,Mid,True,False,,Pansy
Panther,United States,,,,North America,Top,,Top,False,False,,"Panther, Izaac, Panther410"
Pantsu,Sweden,,,,Europe,Mid,"Twisted Fate,Kassadin,Veigar",Mid,True,False,,"Pantsu, Superblob"
Paolocannone,Italy,1995-09-12,Europe,QLASH,EMEA,Streamer,"Blitzcrank,Janna",Support,False,False,1.0,"Paolocannone, Paolocannon, PaulCannon"
Paopao,China,,,,China,Support,,Support,False,False,,Paopao
PAPA,United States,2004-02-12,,Winthrop University,North America,Mid,"Irelia,Akali,Kassadin",Mid,False,False,1.0,"PAPA, Conveying"
Papace,Portugal,,Europe,,EMEA,Bot,,Bot,False,False,,"Papace, Papacelo"
Papajim,Greece,2003-07-03,,,Europe,Mid,"Akshan,Anivia,LeBlanc,Cassiopeia,Ryze,Twisted Fate,Vex",Mid,True,False,1.0,Papajim
Paparotis,Greece,2003-01-28,Europe,Team Paradox,EMEA,Bot,,Bot,False,False,1.0,Paparotis
PapaSmithy,Qatar,1987-01-26,Oceania,FlyQuest,PCS,Manager,"Rumble,Alistar,Ezreal",President;Chief Gaming Officer,False,False,1.0,PapaSmithy
Papil,Greece,2002-12-19,Europe,Pegasus Esports,EMEA,Support,,Support,False,False,1.0,"Papil, PapilGRE"
papillon,China,,,,China,Jungle,,Jungle,True,False,,"Papillon, Fiend, Monsters (Tang Hai-Qin), Ocean (Tang Hai-Qin)"
PapiSosa,Mexico,1997-06-27,,Movistar R7,Latin America,Streamer,,Content Creator,False,False,1.0,PapiSosa
Papiteero,Portugal,2003-09-20,Europe,,EMEA,Top,,Top,False,False,1.0,Papiteero
papryze,Australia,,Oceania,,Asia Pacific,Top,"Riven,Camille,Ryze,Akali",Top,False,False,,Papryze
Parad1sE,Taiwan,,,,LMS,Support,,Support,True,False,,Parad1sE
Paradox (Dimitris Tsiavos),Greece,,,,Europe,Bot,"Kai'Sa,Xayah,Kalista,Sivir",Bot,True,False,,Paradox (Dimitris Tsiavos)
Paradox (Federico Princiotta Cariddi),Italy,2002-01-04,Europe,,EMEA,Support,,Support,False,False,1.0,"Paradox (Federico Princiotta Cariddi), Paradoxsupp, Paradoxx, Pradox (Federico Princiotta Cariddi)"
Paradox (Selina Stengel),Germany,1997-05-04,Europe,,EMEA,Jungle,,Jungle,False,False,1.0,Paradox (Selina Stengel)
ParadoXical,Canada,,,,North America,Mid,"Ahri,Cassiopeia",Mid,True,False,,"ParadoXical, MrParadoXical, Para"
Paragon,South Korea,1995-07-27,,,Korea,Coach,"Corki,Ezreal",Assistant Coach;Bot,True,False,1.0,Paragon
Paragon (Will Kovall),United States,,,Maelstrom Esports,North America,Bot,"Lucian,Aphelios",Bot,False,False,,"Paragon (Will Kovall), Paragxn"
Paralisys,United States,,,Oklahoma Christian University,North America,Support,,Support,False,False,,Paralisys
Paralysis,Greece,,,,Europe,Jungle,,Jungle,True,False,,Paralysis
Paralyze,Egypt,1995-12-02,,Riot Games Inc.,EMEA,Caster,Janna,Caster,False,False,1.0,"Paralyze, Mike Tykoko"
Parang,South Korea,1996-07-04,,,Korea,Top,"Jayce,Gangplank,Gnar",Top,False,False,1.0,Parang
Paranoia,Ukraine,1995-07-03,,,CIS,Mid,Taliyah,Mid,True,False,1.0,"Paranoia, HideFromPara"
Parasite,South Korea,2002-10-06,,,Korea,Support,,Support,False,False,1.0,"Parasite, Burning (Kim Hyo-min), GAMBLEER, GAMBLER (Kim Hyo-min), Goliath (Kim Hyo-min)"
Paresz,Hungary,2000-09-30,Europe,Cyber Wolves,EMEA,Jungle,"Lee Sin,Nidalee,Kha'Zix,Graves",Jungle,False,False,1.0,Paresz
Paris,Greece,1998-06-03,,,Europe,Mid,"Anivia,Taliyah,LeBlanc,Twisted Fate",Mid,True,False,1.0,"Paris, Paris Guccis, ParisGRE, SparkS, Sparks (Paris Outsis-Dimitriadis), SparkS InB, Spartan (Paris Outsis-Dimitriadis), Tralalas"
