OverviewPage,Short,Location,Region,IsDisbanded,RenamedTo
Vivo Keyd Stars Ignis,VKS.I,Brazil,Brazil,False,
Vodafone Giants Academy,VGIA.A,Spain,Europe,True,
Vodafone Giants White,VGIA.W,Spain,Europe,True,
Void Esports Fear,VDE.F,United Kingdom,Europe,True,
Void Gaming,VG,Greece,Europe,True,Void Gaming Phenomenon
Void Gaming Phenomenon,VGP,Greece,Europe,True,
Void Purple,Void P,United Kingdom,Europe,True,
Vorax Liberty,VRX,Brazil,Brazil,True,Liberty
Vorax Liberty Academy,VRX.A,Brazil,Brazil,True,Liberty Academy
Vortex (North American Team),VTX,North America,North America,True,
Vortex Five,V5,Poland,Europe,True,
Vortex Gaming (Latin American Team),VTX,,Latin America,True,
Vortex Team,VT,,China,True,
VP Game,VP,China,China,True,LGD Gaming Young Team
VSG (Korean Team),VSG,South Korea,Korea,True,
VSlash GnG,VSG,,MENA,True,
VVv Gaming,VVV,North America,North America,True,
VVv Gaming Red,VR,North America,North America,True,
VVv Gaming White,VW,North America,North America,True,
Vyral,VYR,,North America,False,
W7m esports,w7m,,Brazil,False,
Waia Snikt,WS,Ecuador,Latin America,False,
Wan Yoo,WY,China,China,True,
WANG DYNASTY,WNG,,North America,True,
WANG TOWN,WANG,,North America,False,
Wang's Revenge,WANG,,North America,True,
WannaBeWithYou,WBY,Taiwan,LMS,True,
WanZhen Esports Club,WZ,China,China,True,
WAP Esports,WAP,Argentina,Latin America,False,
War Legion Esports,WLE,Puerto Rico,Latin America,True,
Wargods,WG,Philippines,SEA,True,Wargods LLP
Wargods LLP,WG.LLP,Philippines,SEA,True,
WarKidZ E-Sports,WKZ,Austria,Europe,True,
Warthox Esport,WTX,France,EMEA,False,
WAVE Esports,WAVE,Austria,Europe,True,
WaY (Korean Team),WaY,South Korea,Korea,True,
Wayi Spider,WS,Taiwan,LMS,True,
Wayi Spider China,WS,China,China,True,
Wazabi Gaming,WZG,North America,North America,True,
We Talent,WT,,Latin America,True,
Weber State University,WSU,,North America,False,
Webidoo Gaming,WBD,,EMEA,False,
Weibo Gaming,WBG,China,China,False,
Weibo Gaming Youth Team,WBG.Y,China,China,False,
WeSports,WES,Germany,EMEA,False,
West Point Esports Academy,WP-A,Philippines,PCS,False,
West Point Esports Philippines,WP,Philippines,Asia Pacific,False,
Western Wolves,wW,Netherlands,Europe,True,
WhereAreyouFrom,WAF,South Korea,Korea,True,
White Bears eSports,WB,Chile,Latin America,True,
White Dragons,WD,Portugal,EMEA,False,
Wichita Wolves,WW,United States,North America,True,
Wicked Gaming,WG,Denmark,Europe,True,
