OverviewPage,Prize USD,Place,Team
Season 1 World Championship,1000.0,7-8,Team Pacific
Season 1 World Championship,1000.0,7-8,Xan
Season 1 World Championship,2000.0,6,Team gamed!de
Season 1 World Championship,3500.0,5,Counter Logic Gaming
Season 1 World Championship,7000.0,4,Epik Gamer
Season 1 World Championship,10000.0,3,TSM
Season 1 World Championship,25000.0,2,against All authority
Season 1 World Championship,50000.0,1,Fnatic
Season 1 World Championship/Qualifiers/Europe,,1,against All authority
Season 1 World Championship/Qualifiers/Europe,,2,Team gamed!de
Season 1 World Championship/Qualifiers/Europe,,3,Fnatic
Season 1 World Championship/Qualifiers/Europe,,4,SK Gaming
Season 1 World Championship/Qualifiers/Europe,,5-6,Absolute Legends
Season 1 World Championship/Qualifiers/Europe,,5-6,Tic-Tacs
Season 1 World Championship/Qualifiers/Europe,,7-8,myRevenge
Season 1 World Championship/Qualifiers/Europe,,7-8,Wizards e-Sports Club
Season 1 World Championship/Qualifiers/North America,,1,TSM
Season 1 World Championship/Qualifiers/North America,,2,Epik Gamer
Season 1 World Championship/Qualifiers/North America,,3,Counter Logic Gaming
Season 1 World Championship/Qualifiers/North America,,4,Rock Solid
Season 1 World Championship/Qualifiers/North America,,5-6,compLexity Gaming
Season 1 World Championship/Qualifiers/North America,,5-6,Defy All Odds
Season 1 World Championship/Qualifiers/North America,,7-8,Disciples of Da Gr8 Whale Lord
Season 1 World Championship/Qualifiers/North America,,7-8,OGODBEARS
Season 2 World Championship,25000.0,11-12,Dignitas
Season 2 World Championship,25000.0,11-12,SK Gaming
Season 2 World Championship,50000.0,9-10,CLG Prime
Season 2 World Championship,50000.0,9-10,Saigon Jokers
Season 2 World Championship,75000.0,5-8,Invictus Gaming
Season 2 World Championship,75000.0,5-8,NaJin Sword
Season 2 World Championship,75000.0,5-8,Team WE
Season 2 World Championship,75000.0,5-8,TSM
Season 2 World Championship,150000.0,3-4,Counter Logic Gaming Europe
Season 2 World Championship,150000.0,3-4,Moscow Five
Season 2 World Championship,250000.0,2,Azubu Frost
Season 2 World Championship,1000000.0,1,Taipei Assassins
Season 2/Regional Finals/China,,1,Invictus Gaming
