OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
Season 1 World Championship,2011-06-18,2011-06-20,International,Sweden,Offline,World Championship,1.0,1.0
Season 1 World Championship/Qualifiers/Europe,2011-05-28,2011-05-29,Europe,,Offline,World Championship,1.0,1.0
Season 1 World Championship/Qualifiers/North America,2011-05-28,2011-05-29,North America,,Offline,World Championship,1.0,1.0
Season 2 World Championship,2012-10-04,2012-10-13,International,United States,Offline,World Championship,1.0,1.0
Season 2/Regional Finals/China,2012-07-26,2012-07-28,China,China,Online,World Championship,1.0,1.0
Season 2/Regional Finals/Europe,2012-08-16,2012-08-19,Europe,Germany,Offline,World Championship,1.0,1.0
Season 2/Regional Finals/Korea,2012-09-12,2012-09-21,Korea,South Korea,Offline,World Championship,1.0,1.0
Season 3 China Regional Finals,2013-09-07,2013-09-08,China,China,Offline,World Championship,1.0,1.0
Season 3 Korea Regional Finals,2013-09-04,2013-09-07,Korea,South Korea,Offline,World Championship,1.0,1.0
Season 3 Taiwan Regional Finals,2013-07-03,2013-08-29,LMS,Taiwan,Online/Offline,World Championship,1.0,1.0
Season 3 Taiwan Regional Finals/Hong Kong Qualifiers,2013-05-30,2013-06-30,LMS,Hong Kong,Online/Offline,World Championship,1.0,1.0
Season 3 World Championship,2013-09-15,2013-10-04,International,United States,Offline,World Championship,1.0,1.0
TCL/2014 Season/Championship/Qualifiers,2014-06-28,2014-06-29,Turkey,Turkey,Online,World Championship,1.0,1.0
LPPL/2016 Season/Spring Season,2016-01-19,2016-04-13,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPPL/2016 Season/Summer Season,2016-05-30,2016-07-18,China,China,Offline,Tencent LoL Pro League,1.0,1.0
NA LCS/2015 Season/Regional Finals,2015-08-29,2015-08-31,North America,United States,Offline,World Championship,1.0,1.0
NA LCS/2016 Season/Regional Finals,2016-09-03,2016-09-05,North America,United States,Offline,World Championship,1.0,1.0
NA LCS/2017 Season/Regional Finals,2017-09-08,2017-09-10,North America,United States,Offline,World Championship,1.0,1.0
NA LCS/2018 Season/Regional Finals,2018-09-14,2018-09-16,North America,United States,Offline,World Championship,1.0,1.0
LMS/2016 Season/Regional Finals,2016-09-02,2016-09-04,LMS,Taiwan,Offline,World Championship,1.0,1.0
LMS/2017 Season/Regional Finals,2017-08-26,2017-08-28,LMS,Taiwan,Offline,World Championship,1.0,1.0
LMS/2018 Season/Regional Finals,2018-09-20,2018-09-22,LMS,Taiwan,Offline,World Championship,1.0,1.0
LMS/2019 Season/Regional Finals,2019-09-06,2019-09-08,LMS,Taiwan,Offline,World Championship,1.0,1.0
LPL/2013 Season/Spring Playoffs,2013-06-16,2013-06-23,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2013 Season/Spring Qualifier,2013-01-29,2013-02-03,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2013 Season/Spring Season,2013-03-16,2013-05-18,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2013 Season/Summer Playoffs,2013-11-20,2013-11-24,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2013 Season/Summer Season,2013-07-12,2013-09-01,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2014 Season/Regional Finals,2014-09-06,2014-09-07,China,China,Offline,World Championship,1.0,1.0
LPL/2014 Season/Spring Playoffs,2014-05-24,2014-05-25,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2014 Season/Spring Promotion,2013-12-31,2013-12-31,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2014 Season/Spring Season,2014-02-22,2014-04-26,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2014 Season/Summer Playoffs,2014-08-19,2014-08-24,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2014 Season/Summer Season,2014-06-14,2014-08-16,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2015 Season/Regional Finals,2015-09-04,2015-09-05,China,China,Offline,World Championship,1.0,1.0
LPL/2015 Season/Spring Playoffs,2015-04-14,2015-04-26,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2015 Season/Spring Promotion,2014-11-21,2014-11-23,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2015 Season/Spring Season,2015-01-16,2015-04-12,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2015 Season/Summer Playoffs,2015-08-11,2015-08-23,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2015 Season/Summer Promotion,2015-04-14,2015-04-19,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2015 Season/Summer Season,2015-05-22,2015-08-09,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2016 Season/Regional Finals,2016-08-27,2016-08-28,China,China,Offline,World Championship,1.0,1.0
LPL/2016 Season/Spring Playoffs,2016-04-13,2016-04-23,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2016 Season/Spring Promotion,2015-08-10,2015-08-13,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2016 Season/Spring Season,2016-01-14,2016-04-10,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2016 Season/Summer Playoffs,2016-08-10,2016-08-26,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2016 Season/Summer Promotion,2016-04-14,2016-04-16,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2016 Season/Summer Season,2016-05-26,2016-08-07,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2017 Season/Regional Finals,2017-09-02,2017-09-03,China,China,Offline,World Championship,1.0,1.0
LPL/2017 Season/Spring Playoffs,2017-04-18,2017-04-29,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2017 Season/Spring Promotion,2016-08-11,2016-08-13,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2017 Season/Spring Season,2017-01-19,2017-04-16,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2017 Season/Summer Playoffs,2017-08-22,2017-09-01,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2017 Season/Summer Promotion,2017-04-19,2017-04-21,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2017 Season/Summer Season,2017-06-08,2017-08-20,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2018 Season/Regional Finals,2018-09-15,2018-09-16,China,China,Offline,World Championship,1.0,1.0
LPL/2018 Season/Spring Playoffs,2018-04-12,2018-04-28,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2018 Season/Spring Season,2018-01-15,2018-04-08,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2018 Season/Summer Playoffs,2018-09-05,2018-09-14,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2018 Season/Summer Season,2018-06-11,2018-09-02,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2019 Season/Regional Finals,2019-09-07,2019-09-08,China,China,Offline,World Championship,1.0,1.0
LPL/2019 Season/Spring Playoffs,2019-04-04,2019-04-21,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2019 Season/Spring Season,2019-01-14,2019-03-31,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2019 Season/Summer Playoffs,2019-08-22,2019-09-06,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2019 Season/Summer Season,2019-06-01,2019-08-18,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2020 Season/Regional Finals,2020-08-28,2020-08-30,China,China,Offline,World Championship,1.0,1.0
LPL/2020 Season/Spring Playoffs,2020-04-22,2020-05-02,China,China,Online,Tencent LoL Pro League,1.0,1.0
LPL/2020 Season/Spring Season,2020-01-13,2020-04-20,China,China,Offline/Online,Tencent LoL Pro League,1.0,1.0
LPL/2020 Season/Summer Playoffs,2020-08-13,2020-08-27,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2020 Season/Summer Season,2020-06-05,2020-08-09,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2021 Season/Regional Finals,2021-09-03,2021-09-05,China,China,Offline,World Championship,1.0,1.0
LPL/2021 Season/Spring Playoffs,2021-04-01,2021-04-18,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2021 Season/Spring Season,2021-01-09,2021-03-28,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2021 Season/Summer Playoffs,2021-08-12,2021-09-02,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2021 Season/Summer Season,2021-06-07,2021-08-08,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2022 Season/Regional Finals,2022-09-02,2022-09-04,China,China,Offline,World Championship,1.0,1.0
LPL/2022 Season/Regional Finals/Showmatch,2022-09-01,2022-09-01,China,China,Offline,World Championship,1.0,1.0
LPL/2022 Season/Spring Playoffs,2022-03-26,2022-04-23,China,China,Online,Tencent LoL Pro League,1.0,1.0
LPL/2022 Season/Spring Season,2022-01-10,2022-03-25,China,China,Offline/Online,Tencent LoL Pro League,1.0,1.0
LPL/2022 Season/Summer Playoffs,2022-08-16,2022-09-01,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2022 Season/Summer Season,2022-06-10,2022-08-14,China,China,Offline/Online,Tencent LoL Pro League,1.0,1.0
LPL/2023 Season/Regional Finals,2023-08-06,2023-08-08,China,China,Offline,World Championship,1.0,1.0
LPL/2023 Season/Spring Playoffs,2023-03-30,2023-04-15,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2023 Season/Spring Season,2023-01-14,2023-03-26,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2023 Season/Summer Playoffs,2023-07-20,2023-08-05,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2023 Season/Summer Season,2023-05-29,2023-07-17,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2024 Season/Regional Finals,2024-08-31,2024-09-02,China,China,Offline,World Championship,1.0,1.0
LPL/2024 Season/Spring Playoffs,2024-03-31,2024-04-20,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2024 Season/Spring Season,2024-01-22,2024-03-27,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2024 Season/Summer Placements,2024-06-01,2024-06-29,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2024 Season/Summer Playoffs,2024-08-03,2024-08-30,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LPL/2024 Season/Summer Season,2024-07-05,2024-07-31,China,China,Offline,Tencent LoL Pro League,1.0,1.0
LCS/2019 Season/Regional Finals,2019-09-06,2019-09-08,North America,United States,Offline,World Championship,1.0,1.0
LCS/2019 Season/Spring Playoffs,2019-03-30,2019-04-13,North America,United States,Offline,League of Legends Championship Series,1.0,1.0
LCS/2019 Season/Spring Season,2019-01-26,2019-03-24,North America,United States,Offline,League of Legends Championship Series,1.0,1.0
LCS/2019 Season/Summer Playoffs,2019-08-10,2019-08-25,North America,United States,Offline,League of Legends Championship Series,1.0,1.0
LCS/2019 Season/Summer Season,2019-06-01,2019-08-04,North America,United States,Offline,League of Legends Championship Series,1.0,1.0
LCS/2020 Season/Spring Playoffs,2020-04-04,2020-04-19,North America,United States,Online,League of Legends Championship Series,1.0,1.0
LCS/2020 Season/Spring Season,2020-01-25,2020-03-29,North America,United States,Offline/Online,League of Legends Championship Series,1.0,1.0
LCS/2020 Season/Summer Playoffs,2020-08-13,2020-09-06,North America,United States,Online,League of Legends Championship Series,1.0,1.0
LCS/2020 Season/Summer Season,2020-06-12,2020-08-09,North America,United States,Online,League of Legends Championship Series,1.0,1.0
LCS/2020 Season/Summer Season/Showmatch,2020-07-10,2020-07-10,North America,United States,Online,League of Legends Championship Series,1.0,1.0
LCS/2021 Season/Championship,2021-08-07,2021-08-29,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2021 Season/Lock In,2021-01-15,2021-01-31,North America,United States,Online,League of Legends Championship Series,1.0,1.0
LCS/2021 Season/Mid-Season Showdown,2021-03-20,2021-04-11,North America,United States,Online/Offline,League of Legends Championship Series,1.0,1.0
LCS/2021 Season/Spring Season,2021-02-05,2021-03-14,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2021 Season/Summer Season,2021-06-04,2021-08-01,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2022 Season/Championship,2022-08-20,2022-09-11,North America,United States,Online/Offline,League of Legends Championship Series,1.0,1.0
LCS/2022 Season/Lock In,2022-01-14,2022-01-30,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2022 Season/Spring Playoffs,2022-04-02,2022-04-24,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2022 Season/Spring Season,2022-02-05,2022-03-27,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2022 Season/Summer Season,2022-06-17,2022-08-14,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2023 Season/Championship,2023-07-27,2023-08-20,North America,United States,Online/Offline,League of Legends Championship Series,1.0,1.0
LCS/2023 Season/Spring Playoffs,2023-03-23,2023-04-09,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2023 Season/Spring Season,2023-01-26,2023-03-17,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2023 Season/Summer Season,2023-06-14,2023-07-21,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2024 Season/Championship,2024-08-17,2024-09-07,North America,United States,Offline,League of Legends Championship Series,1.0,1.0
LCS/2024 Season/Spring Playoffs,2024-03-14,2024-03-31,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2024 Season/Spring Season,2024-01-20,2024-03-10,North America,United States,,League of Legends Championship Series,1.0,1.0
LCS/2024 Season/Summer Season,2024-06-15,2024-08-11,North America,United States,,League of Legends Championship Series,1.0,1.0
LEC/2019 Season/Regional Finals,2019-09-13,2019-09-15,Europe,Germany,Offline,World Championship,1.0,1.0
LEC/2019 Season/Spring Playoffs,2019-03-29,2019-04-14,Europe,,Offline,LoL EMEA Championship,1.0,1.0
LEC/2019 Season/Spring Season,2019-01-18,2019-03-16,Europe,Germany,Offline,LoL EMEA Championship,1.0,1.0
LEC/2019 Season/Summer Playoffs,2019-08-23,2019-09-08,Europe,,Offline,LoL EMEA Championship,1.0,1.0
LEC/2019 Season/Summer Season,2019-06-07,2019-08-17,Europe,Germany,Offline,LoL EMEA Championship,1.0,1.0
LEC/2020 Season/Spring Playoffs,2020-04-03,2020-04-19,Europe,Germany,Online,LoL EMEA Championship,1.0,1.0
LEC/2020 Season/Spring Season,2020-01-24,2020-03-28,Europe,Germany,Offline/Online,LoL EMEA Championship,1.0,1.0
LEC/2020 Season/Summer Playoffs,2020-08-21,2020-09-06,Europe,,Online,LoL EMEA Championship,1.0,1.0
LEC/2020 Season/Summer Season,2020-06-12,2020-08-09,Europe,Germany,Online,LoL EMEA Championship,1.0,1.0
LEC/2021 Season/Spring Playoffs,2021-03-26,2021-04-11,Europe,Germany,Offline,LoL EMEA Championship,1.0,1.0
LEC/2021 Season/Spring Season,2021-01-22,2021-03-14,Europe,Germany,Online,LoL EMEA Championship,1.0,1.0
LEC/2021 Season/Summer Playoffs,2021-08-13,2021-08-29,Europe,Germany,,LoL EMEA Championship,1.0,1.0
LEC/2021 Season/Summer Season,2021-06-11,2021-08-01,Europe,Germany,Online/Offline,LoL EMEA Championship,1.0,1.0
LEC/2022 Season/Spring Playoffs,2022-03-25,2022-04-10,Europe,Germany,,LoL EMEA Championship,1.0,1.0
LEC/2022 Season/Spring Season,2022-01-14,2022-03-06,Europe,Germany,Online,LoL EMEA Championship,1.0,1.0
LEC/2022 Season/Summer Playoffs,2022-08-26,2022-09-11,Europe,,Online/Offline,LoL EMEA Championship,1.0,1.0
LEC/2022 Season/Summer Season,2022-06-17,2022-08-14,Europe,Germany,Offline,LoL EMEA Championship,1.0,1.0
LEC/2023 Season/Season Finals,2023-08-19,2023-09-10,EMEA,,Offline,LoL EMEA Championship,1.0,1.0
LEC/2023 Season/Spring Groups,2023-04-08,2023-04-16,EMEA,Germany,Offline,LoL EMEA Championship,1.0,1.0
